ID;T_ID;T_Gen;T_sex;Month;Season;Year;Location;Beat;Prey_code_DV;P_Sp_code;P_species;Age_group;P_Sex_Code;P_Sex;Remarks;reserve_cl;reserve_nm;2km_OF_Village;250_OF_water
541;P213;2;2;12;W;2012;RAMPURAFOREST;1368;W;4;NILGAI;UNKNOWN;3;UNKNOWN;NO REMARKS;1;buffer_zone;0;0
542;P213;2;2;12;W;2012;ITWATEK;1367;W;5;SAMBAR;ADULT;3;UNKNOWN;NO REMARKS;2;core_area;0;0
543;P213;2;2;12;W;2012;TARA;1352;D;2;BUFFALO;ADULT;2;FEMALE;P-111 & P-213 TOGETHER PARTICIPATED IN KILL;1;buffer_zone;1;0
544;P213;2;2;12;W;2012;TARA;1352;D;1;COW;YOUNG;3;UNKNOWN;P-111 & P-213 TOGETHER PARTICIPATED IN KILL;1;buffer_zone;1;0
545;P213;2;2;12;W;2012;KUDAN;1325;W;5;SAMBAR;ADULT;2;FEMALE;NO REMARKS;2;core_area;0;0
546;P213;2;2;1;W;2013;TARA;1354;D;1;COW;ADULT;2;FEMALE;NO REMARKS;1;buffer_zone;0;0
547;P213;2;2;1;W;2013;MAHUAMOD;1345;D;1;COW;ADULT;2;FEMALE;NO REMARKS;2;core_area;1;0
548;P213;2;2;1;W;2013;KANDWAHA;1351;W;5;SAMBAR;ADULT;2;FEMALE;NO REMARKS;2;core_area;1;0
549;P213;2;2;1;W;2013;MAHUAMOD;1345;D;1;COW;ADULT;2;FEMALE;NO REMARKS;2;core_area;1;0
550;P213;2;2;1;W;2013;TARA;1359;D;1;COW;ADULT;1;MALE;NO REMARKS;1;HDL;1;1
551;P213;2;2;1;W;2013;TARA;1359;D;1;COW;ADULT;2;FEMALE;NO REMARKS;1;HDL;1;1
552;P213;2;2;2;W;2013;TARA;1352;D;1;COW;YOUNG;2;Female;FEMALE;1;buffer_zone;1;0
553;P213;2;2;2;W;2013;KANDWAHA;1351;W;4;NILGAI;UNKNOWN;3;UNKNOWN;NO REMARKS;2;core_area;1;0
554;P213;2;2;3;S;2013;RAMPURAFOREST;1356;D;1;COW;ADULT;2;FEMALE;NO REMARKS;2;core_area;1;0
555;P213;2;2;3;S;2013;RAMPURAFOREST;1356;D;1;COW;YOUNG;3;UNKNOWN;NO REMARKS;2;core_area;1;0
556;P213;2;2;4;S;2013;RAMPURAFOREST;1356;D;1;COW;ADULT;1;MALE;NO REMARKS;2;core_area;1;0
557;P213;2;2;4;S;2013;MAHUAMOD;1340;D;1;COW;ADULT;1;MALE;NO REMARKS;2;core_area;0;0
558;P213;2;2;4;S;2013;KANDWAHA;1351;W;5;SAMBAR;ADULT;3;UNKNOWN;NO REMARKS;2;core_area;1;0
559;P213;2;2;4;S;2013;TARA;1352;D;1;COW;ADULT;2;FEMALE;2 DEAD COWS FOUND IN THE AREA;2;core_area;0;1
560;P213;2;2;4;S;2013;TARA;1352;D;1;COW;ADULT;2;FEMALE; ;2;core_area;0;1
